timestamp,Root/Objects/PLC/Modules/<Default>/TestIO/jopa
2025-03-04 01:19:01.091,245485
2025-03-04 01:19:01.201,245501
2025-03-04 01:19:01.312,245518
2025-03-04 01:19:01.421,245534
2025-03-04 01:19:01.532,245549
2025-03-04 01:19:01.638,245567
2025-03-04 01:19:01.751,245583
2025-03-04 01:19:01.856,245599
2025-03-04 01:19:01.969,245615
2025-03-04 01:19:02.079,245631
2025-03-04 01:19:02.189,245647
2025-03-04 01:19:02.298,245663
2025-03-04 01:19:02.406,245679
2025-03-04 01:19:02.515,245695
2025-03-04 01:19:02.622,245711
2025-03-04 01:19:02.734,245728
2025-03-04 01:19:02.842,245743
2025-03-04 01:19:02.950,245759
2025-03-04 01:19:03.061,245776
2025-03-04 01:19:03.170,245791
2025-03-04 01:19:03.278,245809
2025-03-04 01:19:03.388,245825
2025-03-04 01:19:03.499,245841
2025-03-04 01:19:03.606,245857
2025-03-04 01:19:03.717,245873
2025-03-04 01:19:03.826,245889
2025-03-04 01:19:03.936,245905
2025-03-04 01:19:04.043,245921
2025-03-04 01:19:04.153,245938
2025-03-04 01:19:04.264,245954
2025-03-04 01:19:04.371,245970
2025-03-04 01:19:04.482,245985
2025-03-04 01:19:04.590,246002
2025-03-04 01:19:04.700,246018
2025-03-04 01:19:04.811,246034
2025-03-04 01:19:04.919,246050
2025-03-04 01:19:05.027,246067
2025-03-04 01:19:05.138,246083
2025-03-04 01:19:05.246,246099
2025-03-04 01:19:05.356,246115
2025-03-04 01:19:05.473,246133
2025-03-04 01:19:05.589,246148
2025-03-04 01:19:05.690,246165
2025-03-04 01:19:05.807,246182
2025-03-04 01:19:05.903,246195
2025-03-04 01:19:06.015,246213
2025-03-04 01:19:06.123,246229
2025-03-04 01:19:06.241,246246
2025-03-04 01:19:06.340,246261
2025-03-04 01:19:06.456,246278
2025-03-04 01:19:06.572,246294
2025-03-04 01:19:06.674,246309
2025-03-04 01:19:06.789,246326
2025-03-04 01:19:06.890,246342
2025-03-04 01:19:07.006,246359
2025-03-04 01:19:07.106,246374
2025-03-04 01:19:07.215,246390
2025-03-04 01:19:07.339,246408
2025-03-04 01:19:07.440,246422
2025-03-04 01:19:07.558,246440
2025-03-04 01:19:07.657,246454
2025-03-04 01:19:07.773,246472
2025-03-04 01:19:07.874,246487
2025-03-04 01:19:07.991,246505
2025-03-04 01:19:08.103,246520
2025-03-04 01:19:08.207,246536
2025-03-04 01:19:08.321,246554
2025-03-04 01:19:08.423,246567
2025-03-04 01:19:08.539,246585
2025-03-04 01:19:08.641,246599
2025-03-04 01:19:08.756,246618
2025-03-04 01:19:08.858,246632
2025-03-04 01:19:08.973,246650
2025-03-04 01:19:09.088,246666
2025-03-04 01:19:09.191,246682
2025-03-04 01:19:09.305,246698
2025-03-04 01:19:09.407,246712
2025-03-04 01:19:09.524,246730
2025-03-04 01:19:09.623,246745
2025-03-04 01:19:09.740,246763
2025-03-04 01:19:09.841,246778
2025-03-04 01:19:09.956,246794
2025-03-04 01:19:10.072,246812
2025-03-04 01:19:10.174,246826
2025-03-04 01:19:10.288,246844
2025-03-04 01:19:10.390,246858
2025-03-04 01:19:10.507,246875
2025-03-04 01:19:10.607,246891
2025-03-04 01:19:10.724,246908
2025-03-04 01:19:10.836,246924
2025-03-04 01:19:10.940,246940
2025-03-04 01:19:11.056,246958
2025-03-04 01:19:11.157,246972
2025-03-04 01:19:11.274,246988
2025-03-04 01:19:11.374,247004
2025-03-04 01:19:11.491,247022
